Country,Region
Argentina,RW
Australia,RW
Austria,EU
Bahrain,RW
Belgium,EU
Bolivia,RW
Brasil,RW
Bulgaria,EU
Canada,NA
Chile,RW
China,RW
Colombia,RW
Costa Rica,RW
Croatia,EU
Cyprus,EU
Czech Republic,EU
Denmark,EU
Ecuador,RW
El Salvador,RW
Finland,EU
France,EU
Germany,EU
Greece,EU
Guatemala,RW
Honduras,RW
Hong Kong,RW
Hungary,EU
Iceland,RW
India,RW
Indonesia,RW
Ireland,EU
Israel,RW
Italy,EU
Japan,JP
Korea,RW
Kuwait,RW
Lebanon,RW
Luxembourg,EU
Malaysia,RW
Malta,RW
Mexico,NA
Nederland,RW
New Zealand,RW
Nicaragua,RW
Norway,EU
Oman,RW
Panama,RW
Paraguay,RW
Peru,RW
Philippines,RW
Poland,EU
Portugal,EU
Qatar,RW
Romania,EU
Russia,EU
Saudi Arabia,RW
Serbia,EU
Singapore,RW
Slovenia,EU
Slovakia,RW
South Africa,RW
Spain,EU
Sweden,EU
Switzerland,EU
Taiwan,RW
Thailand,RW
Turkey,RW
Ukraine,EU
United Arab Emirates/ Middle East,RW
United States,NA
United Kingdom,EU
Uruguay,RW
Vietnam,RW
